Country,Confirmed,Deaths,Recovered,UN Region,GDP($),Percentage DC,Percentage RC
Dominican Republic,308650,3707,251689,Americas,8477,1.2010367730439009,81.5451158269885
Egypt,273182,15623,201044,Africa,3898,5.718898024027937,73.59342855678632
Ethiopia,274187,4242,250670,Africa,825,1.547119301790384,91.42300692593011
Finland,93829,975,46200,Europe,53703,1.0391243645354846,49.23850835029682
France,6106009,109914,345440,Europe,44229,1.8000956107336232,5.657377838781437
Gambia,6108,180,5813,Africa,772,2.9469548133595285,95.17026850032744
Georgia,353965,5048,339392,Asia,4975,1.4261297020891897,95.88292627802184
Germany,3723295,89881,3581340,Europe,51073,2.414017691319114,96.18738241262108
Ghana,94493,789,92620,Africa,2409,0.8349824854751146,98.01784259151472
Greece,414933,12419,93764,Europe,20571,2.9930133298628934,22.597383191985212
Haiti,16079,351,12573,Americas,1664,2.1829715778344423,78.19516139063374
Hungary,806790,29904,724614,Europe,18728,3.706540735507381,89.81444985684007
Iceland,6556,35,6514,Europe,69133,0.5338621110433192,99.35936546674802
India,29460523,370730,28089649,Asia,2274,1.258395854004357,95.34674248654717
